Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Luminosity,AB_Mag,Weight,Distance (pc)
qlp-s16-ffi,QLP,67309890,1484.01,PC,343.1563751,48.5500847,343.156204,48.55000989,10.211,0.006,1739.46756,0.00281,1.16237,0.00022,1.33,0.185,1196.63,1.65083,"[16, 17]",,3.82,0.08,1,2.35,0.16,8.9478,0.625932,1668,5843.7,198.1,1285.31,25,2.22E+34,10.65325768,0.3,100
qlp-s52-tois,SPOC,373017346,4450.01,PC,306.1340268,87.0708189,306.1378186,87.07115611,10.5801,0.006,2759.877559,0.002256,10.6925011,3.88E-05,3.491,0.324,1200,0.657689,"[18, 19, 20, 25, 26, 40, 47, 52]",,4.34318,0.0769439,1,1.15,0.06,4.01292,0.223035,865,5844,134.577,93.3426,27,5.32E+33,11.02235768,0.3,100
qlp-s52-tois,QLP,270515566,2159.01,PC,264.454111,47.2302469,264.4540404,47.23028876,10.86,0.007,2755.898401,0.0005072,10.0509704,1.24E-05,6.129,0.062,8660,0.209823,"[25, 26, 40, 51, 52]",TFOP SB1/APC,4.16,0.08,1,1.41,0.07,13.5943,0.636359,1121,5844,126.4,263.046,63,8.00E+33,11.30225768,0.3,100
qlp-s33-ffi,SPOC,67196573,2499.01,PC,89.456588,-11.418267,89.45664842,-11.41820337,10.729,0.018,2226.410197,0.0005918,2.5574812,3.40E-06,1.053,0.181,1860,1540.73,"[6, 33]",V-shaped,4.33,2,1,1.13,0.05,17.7879,4.95674,1400,5844,115.1,639.207,28,5.14E+33,11.17125768,0.3,100
qlp-s63-ffi,QLP,302659412,1957.01,PC,134.9663927,-67.955595,134.9663858,-67.95559722,9.476,0.019,3025.908737,0.0078088,14.5189018,0.0001071,2.965,1.211,474,56.0623,"[9, 10, 11, 36, 38, 63]",hint of centroid offset; slight depth aperture correlation,4.13,0.36,1,1.79,0.09,3.66367,0.345354,761,5844.8,50.4,55.7282,10,1.29E+34,9.918257675,0.3,100
qlp-s49-tois,QLP,233576159,4105.01,PC,282.2040229,65.9416641,282.2040344,65.9416427,12.545,0.008,2658.130221,0.0036716,5.7152049,3.09E-05,2.783,0.329,2080,1.83577,"[14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55]",found in faint-star QLP search,3.75,0.08,1,2.25,0.11,10.4523,0.62062,1064,5845,128.4,213.024,24,2.04E+34,12.98725768,0.3,100
qlp-s45-faintsearch,QLP,76798849,5472.01,PC,87.5402649,24.7747069,87.54028135,24.77470821,12.802,0.006,2547.063901,0.0011703,2.2703829,6.66E-05,1.947,0.082,12110,3.7774,"[43, 44, 45]",found in faint-star QLP search,4.38,0.08,1,1.1,0.06,12.7801,0.696353,1327,5845,163.1,515.387,39,4.87E+33,13.24425768,0.3,100
spoc-s59-b02,SPOC,66296167,6046.01,PC,72.09660873,62.06263523,72.09666298,62.06264994,13.7471,0.0293,2911.708915,0.001915913,3.413701979,0.000453121,2.91600915,0.15620056,15800.47398,622.77765,[59],apparent odd-even due to detrending artifact caused by first transit falling near data gap,4.44554,0,1,1.015920043,0,12.91181441,0.6255599,1223.799285,5845,122,530.104856,18.457575,4.15E+33,14.18935768,0.3,100
qlp-s52-tois,QLP,207491214,5659.01,PC,246.3154099,57.5625096,246.3155109,57.5624129,13.044,0.006,2911.312652,0.003879847,6.2230846,1.00E-05,4.405,0.093,12370,1.37111,"[15, 16, 17, 19, 22, 23, 24, 25, 49, 50, 51, 52, 58, 59]",found in faint-star QLP search,4.14,,1,1.44,,16.4857,,1202,5845.3,117.7,347.18,63,8.35E+33,13.48625768,0.3,100
qlp-s39-faintsearch,QLP,361711730,5027.01,PC,243.8852885,-69.2169595,243.8850212,-69.21709723,10.91,0.006,2387.004152,0.0011595,10.2436729,2.79E-05,2.999,0.286,9410,302.25,"[12, 39]",V-shaped; found in faint-star QLP search,4.5,0.08,1,0.96,0.05,11.2818,1.9152,1035,5845.9,122.8,190.912,50,3.71E+33,11.35225768,0.3,100
